"Attacker"^"Web service function name"^"Exceptions if any"
"anonymous"^"GetAllLibraryIds()"^"Output format incorrect. Please check this manually."
"anonymous"^"CreateLibrary(ns1:Library library, )"^"Server raised fault: 'System.Web.Services.Protocols.SoapException: Server was unable to process request. ---> System.Security.SecurityException: Request for principal permission failed."
"anonymous"^"CreateFolder(ns0:guid libraryId, ns0:guid parentFolderId, xs:string newFolderName, )"^"Server raised fault: 'System.Web.Services.Protocols.SoapException: Server was unable to process request. ---> System.Security.SecurityException: Request for principal permission failed."
"anonymous"^"GetGuidanceItemsInFolder(ns0:guid folderId, )"^"NA"
"anonymous"^"GetFolders(ns0:guid libraryId, )"^"NA"
"anonymous"^"GetGuidanceItemsInLibrary(ns0:guid libraryId, )"^"NA"
"anonymous"^"GetAllViews()"^"NA"
"anonymous"^"GetGuidanceItemsInView(ns0:guid viewId, )"^"NA"
"anonymous"^"RenameFolder(ns0:guid libraryId, ns0:guid folderId, xs:string newFolderName, )"^"Server raised fault: 'System.Web.Services.Protocols.SoapException: Server was unable to process request. ---> System.Security.SecurityException: Request for principal permission failed."
"anonymous"^"UpdateView(ns1:View view, )"^"Server raised fault: 'System.Web.Services.Protocols.SoapException: Server was unable to process request. ---> System.Security.SecurityException: Request for principal permission failed."
"anonymous"^"GetFolderStructure_Library(ns0:guid libraryId, )"^"NA"
"anonymous"^"CreateArticle(TeamMentor_Article article, )"^"Server raised fault: 'System.Web.Services.Protocols.SoapException: Server was unable to process request. ---> System.Security.SecurityException: Request for principal permission failed."
"anonymous"^"RenameLibrary(ns0:guid libraryId, xs:string newName, )"^"Server raised fault: 'System.Web.Services.Protocols.SoapException: Server was unable to process request. ---> System.Security.SecurityException: Request for principal permission failed."
"anonymous"^"CreateArticle_Simple(ns0:guid libraryId, xs:string title, xs:string dataType, xs:string htmlCode, )"^"Server raised fault: 'System.Web.Services.Protocols.SoapException: Server was unable to process request. ---> System.Security.SecurityException: Request for principal permission failed."
"anonymous"^"UpdateGuidanceItem(TeamMentor_Article guidanceItem, )"^"Server raised fault: 'System.Web.Services.Protocols.SoapException: Server was unable to process request. ---> System.Security.SecurityException: Request for principal permission failed."
"anonymous"^"GetGuidanceItemById(xs:string guidanceItemId, )"^"NA"
"anonymous"^"CreateView(ns0:guid folderId, ns1:View view, )"^"Server raised fault: 'System.Web.Services.Protocols.SoapException: Server was unable to process request. ---> System.Security.SecurityException: Request for principal permission failed."
